Hatcheries ,Assay Type,Larval Species Tested,Water Type,Filtered/Unfiltered ,Treatment,Sample_ID,Replicate,Alive,Dead,% Mortality,Mortality,Control Average Mort,Control Average Mort  Percent,Percent Viability + Control Mortality,,Date of Assay,Note,,,,,,,,,,,,,,,,,,,Incoming Water 0.22um filter,Incoming Water 10um filter,Incoming Water Unfiltered,Tank Water 0.22um filter,Tank Water Unfiltered,Shed Water 0.22um filter,Shed Water 10um filter,Shed Water Unfiltered,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,TRG-R2 Acute Incoming Water 0.22um filter,3,58,11,16%,16,15,15%,99,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,TRG-R2 Acute Shed Water Unfiltered,1,45,8,15%,15,15,15%,100,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,TRG-R2 Acute Shed Water Unfiltered,2,50,11,18%,18,15,15%,97,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,TRG-R2 Acute Shed Water Unfiltered,3,52,2,4%,4,15,15%,111,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,TRG-R2 Acute Shed Water 0.22um filter,1,73,10,12%,12,15,15%,103,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,TRG-R2 Acute Shed Water 0.22um filter,2,79,32,29%,29,15,15%,86,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,TRG-R2 Acute Shed Water 0.22um filter,3,64,12,16%,16,15,15%,99,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,TXP-R1 Acute Tank Water Unfiltered,1,46,6,12%,12,15,15%,103,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,TXP-R1 Acute Tank Water Unfiltered,2,63,12,16%,16,15,15%,99,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,TXP-R1 Acute Tank Water Unfiltered,3,37,9,20%,20,15,15%,95,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,TXP-R1 Acute Tank Water 0.22um filter,1,78,31,28%,28,15,15%,86,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,TXP-R1 Acute Tank Water 0.22um filter,2,72,17,19%,19,15,15%,96,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,TXP-R1 Acute Tank Water 0.22um filter,3,64,19,23%,23,15,15%,92,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,TXP-R1 Acute Incoming Water Unfiltered,1,20,2,9%,9,15,15%,106,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,TXP-R1 Acute Incoming Water Unfiltered,2,31,12,28%,28,15,15%,87,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,TXP-R1 Acute Incoming Water Unfiltered,3,41,10,20%,20,15,15%,95,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,TXP-R1 Acute Incoming Water 0.22um filter,1,23,13,36%,36,15,15%,79,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,TXP-R1 Acute Incoming Water 0.22um filter,2,43,12,22%,22,15,15%,93,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,TXP-R1 Acute Incoming Water 0.22um filter,3,31,22,42%,42,15,15%,73,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,TXP-R1 Acute Shed Water Unfiltered,1,77,19,20%,20,15,15%,95,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,TXP-R1 Acute Shed Water Unfiltered,2,27,10,27%,27,15,15%,88,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,TXP-R1 Acute Shed Water Unfiltered,3,38,8,17%,17,15,15%,98,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,TXP-R1 Acute Shed Water 0.22um filter,1,72,15,17%,17,15,15%,98,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,TXP-R1 Acute Shed Water 0.22um filter,2,64,22,26%,26,15,15%,89,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXP-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,TXP-R1 Acute Shed Water 0.22um filter,3,44,5,10%,10,15,15%,105,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,H3N-R1 Acute Tank Water Unfiltered,1,46,3,6%,6,15,15%,109,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,H3N-R1 Acute Tank Water Unfiltered,2,72,5,6%,6,15,15%,108,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,H3N-R1 Acute Tank Water Unfiltered,3,45,3,6%,6,15,15%,109,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,H3N-R1 Acute Tank Water 0.22um filter,1,40,5,11%,11,15,15%,104,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,H3N-R1 Acute Tank Water 0.22um filter,2,64,5,7%,7,15,15%,108,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,H3N-R1 Acute Tank Water 0.22um filter,3,95,4,4%,4,15,15%,111,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,H3N-R1 Acute Incoming Water Unfiltered,1,61,4,6%,6,15,15%,109,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,H3N-R1 Acute Incoming Water Unfiltered,2,49,2,4%,4,15,15%,111,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,H3N-R1 Acute Incoming Water Unfiltered,3,110,5,4%,4,15,15%,111,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,H3N-R1 Acute Incoming Water 0.22um filter,1,114,9,7%,7,15,15%,108,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,H3N-R1 Acute Incoming Water 0.22um filter,2,67,11,14%,14,15,15%,101,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,H3N-R1 Acute Incoming Water 0.22um filter,3,50,10,17%,17,15,15%,98,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,H3N-R1 Acute Shed Water Unfiltered,1,56,2,3%,3,15,15%,111,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,H3N-R1 Acute Shed Water Unfiltered,2,80,12,13%,13,15,15%,102,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,H3N-R1 Acute Shed Water Unfiltered,3,88,8,8%,8,15,15%,107,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,H3N-R1 Acute Shed Water 0.22um filter,1,54,8,13%,13,15,15%,102,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,H3N-R1 Acute Shed Water 0.22um filter,2,56,13,19%,19,15,15%,96,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,H3N-R1 Acute Shed Water 0.22um filter,3,56,4,7%,7,15,15%,108,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,YPH-R2 Acute Tank Water Unfiltered,1,32,6,16%,16,15,15%,99,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,YPH-R2 Acute Tank Water Unfiltered,2,91,3,3%,3,15,15%,112,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,YPH-R2 Acute Tank Water Unfiltered,3,66,8,11%,11,15,15%,104,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,YPH-R2 Acute Tank Water 0.22um filter,1,89,19,18%,18,15,15%,97,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,YPH-R2 Acute Tank Water 0.22um filter,2,84,3,3%,3,15,15%,111,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,YPH-R2 Acute Tank Water 0.22um filter,3,29,6,17%,17,15,15%,98,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,YPH-R2 Acute Incoming Water Unfiltered,1,47,6,11%,11,15,15%,104,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,YPH-R2 Acute Incoming Water Unfiltered,2,47,0,0%,0,15,15%,115,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,YPH-R2 Acute Incoming Water Unfiltered,3,45,12,21%,21,15,15%,94,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,YPH-R2 Acute Incoming Water 0.22um filter,1,50,7,12%,12,15,15%,103,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,YPH-R2 Acute Incoming Water 0.22um filter,2,66,18,21%,21,15,15%,94,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,YPH-R2 Acute Incoming Water 0.22um filter,3,23,3,12%,12,15,15%,103,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,YPH-R2 Acute Shed Water Unfiltered,1,37,8,18%,18,15,15%,97,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,YPH-R2 Acute Shed Water Unfiltered,2,39,13,25%,25,15,15%,90,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,YPH-R2 Acute Shed Water Unfiltered,3,83,10,11%,11,15,15%,104,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,YPH-R2 Acute Shed Water 0.22um filter,1,52,12,19%,19,15,15%,96,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,YPH-R2 Acute Shed Water 0.22um filter,2,25,7,22%,22,15,15%,93,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,YPH-R2 Acute Shed Water 0.22um filter,3,51,8,14%,14,15,15%,101,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R1 Acute Shed Water Unfiltered,1,51,2,4%,4,15,15%,111,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R1 Acute Shed Water Unfiltered,2,37,19,34%,34,15,15%,81,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R1 Acute Shed Water Unfiltered,3,41,0,0%,0,15,15%,115,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RRD-R1 Acute Shed Water 0.22um filter,1,59,3,5%,5,15,15%,110,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RRD-R1 Acute Shed Water 0.22um filter,2,37,1,3%,3,15,15%,112,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RRD-R1 Acute Shed Water 0.22um filter,3,70,0,0%,0,15,15%,115,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,H3N-R1 Acute Tank Water Unfiltered,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,H3N-R1 Acute Tank Water Unfiltered,2,100,4,4%,4,1,1%,97,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,H3N-R1 Acute Tank Water Unfiltered,3,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,H3N-R1 Acute Tank Water 0.22um filter,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,H3N-R1 Acute Tank Water 0.22um filter,2,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,H3N-R1 Acute Tank Water 0.22um filter,3,103,3,3%,3,1,1%,98,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,H3N-R1 Acute Incoming Water Unfiltered,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,H3N-R1 Acute Incoming Water Unfiltered,2,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,H3N-R1 Acute Incoming Water Unfiltered,3,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,H3N-R1 Acute Incoming Water 0.22um filter,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,H3N-R1 Acute Incoming Water 0.22um filter,2,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,H3N-R1 Acute Incoming Water 0.22um filter,3,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,H3N-R1 Acute Shed Water Unfiltered,1,125,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,H3N-R1 Acute Shed Water Unfiltered,2,149,2,1%,1,1,1%,99,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,H3N-R1 Acute Shed Water Unfiltered,3,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,H3N-R1 Acute Shed Water 0.22um filter,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,H3N-R1 Acute Shed Water 0.22um filter,2,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,H3N-R1 Acute Shed Water 0.22um filter,3,99,1,1%,1,1,1%,100,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,YPH-R2 Acute Tank Water Unfiltered,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,YPH-R2 Acute Tank Water Unfiltered,2,135,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,YPH-R2 Acute Tank Water Unfiltered,3,175,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,YPH-R2 Acute Tank Water 0.22um filter,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,YPH-R2 Acute Tank Water 0.22um filter,2,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,YPH-R2 Acute Tank Water 0.22um filter,3,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,YPH-R2 Acute Incoming Water Unfiltered,1,137,3,2%,2,1,1%,98,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,YPH-R2 Acute Incoming Water Unfiltered,2,115,3,3%,3,1,1%,98,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,YPH-R2 Acute Incoming Water Unfiltered,3,128,2,2%,2,1,1%,99,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,YPH-R2 Acute Incoming Water 0.22um filter,1,138,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,YPH-R2 Acute Incoming Water 0.22um filter,2,210,3,1%,1,1,1%,99,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,YPH-R2 Acute Incoming Water 0.22um filter,3,123,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,YPH-R2 Acute Shed Water Unfiltered,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,YPH-R2 Acute Shed Water Unfiltered,2,155,6,4%,4,1,1%,97,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,YPH-R2 Acute Shed Water Unfiltered,3,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,YPH-R2 Acute Shed Water 0.22um filter,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,YPH-R2 Acute Shed Water 0.22um filter,2,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPH-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,YPH-R2 Acute Shed Water 0.22um filter,3,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R1 Acute Shed Water Unfiltered,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R1 Acute Shed Water Unfiltered,2,126,1,1%,1,1,1%,100,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
